Date,Price,Daily_Return,Golden_Cross,EMA_crossover,RSI_14,MACD_Hist,ROC_5,BB_Width,BB_Pct,ATR_Pct,HV_20,Vol_Ratio
2016-03-02,31772.9,0.8371864517912497,0,0,54.54630574467602,64.11389931938345,3.2036665302436873,0.0783548299533549,0.58436643797377,1.1771035267390426,14.348645366016893,1.3816469231323738
2016-03-03,32146.58,1.1760966106335813,0,0,59.78594944896462,111.74005195498603,4.363440275847474,0.07871676299388126,0.7330936400697177,1.1993103763686004,14.908038236008887,1.1198034679323585
2016-03-04,32441.74,0.9181692111571492,0,1,63.37705496161112,156.31296311174918,3.6673389983025606,0.0783631895114,0.8542372456153754,1.167139309757374,14.611473507645407,1.1315175374530166
2016-03-07,33022.6,1.790471164616925,0,1,69.20515525988755,214.51201369553252,5.269734847627516,0.08260963705627068,1.0524400581621982,1.2310930300300738,15.754738794043789,1.4596667962652399
2016-03-08,33032.85,0.0310393488096138,0,1,69.29800430392208,241.29686066747422,4.835871276592707,0.0891357372012075,1.004708296630251,1.1785169510858104,15.43094120658729,1.6413880012601827
2016-03-09,32957.98,-0.2266531649554815,0,1,67.69251029747058,241.00566357268926,3.729845245476504,0.09582839561709297,0.9307634307651791,1.1019588329943648,15.012787644137065,1.3949103566766705
2016-03-10,32710.56,-0.7507134842608787,0,1,62.53628712031491,212.19795309045773,1.754401245793491,0.1002019240042203,0.8194685712395701,1.1290225201942354,14.778145658652326,0.84704708588532
2016-03-11,32669.16,-0.1265646323389213,0,1,61.68954170705735,179.69086530099773,0.7010104883400148,0.10338189564492781,0.7780920141827168,1.075404582479096,14.052101179030881,0.7483004634844843
2016-03-14,32738.56,0.2124327653358682,0,1,62.60364206809961,153.2306000628028,-0.8601382083784914,0.10682899428067306,0.77727768956639,1.0153640168385678,13.222565082023099,0.7718371395771335
2016-03-15,32623.02,-0.3529171716776802,0,1,60.03536845563461,119.79577460127587,-1.2406740562803331,0.10906560357390996,0.7242449434738842,0.9580519629644669,12.897394409002343,1.0835963831355537
2016-03-16,32891.08,0.8216897148087599,0,1,63.75091783926289,107.94955574852037,-0.20298574123778224,0.11202237138859325,0.7729388890980751,0.9526253086141251,12.750084935185463,1.1110804531733725
2016-03-17,32957.75,0.2026993336795124,0,1,64.63165256077305,97.15737745480124,0.7556886827984499,0.11372081384388508,0.7634607645850284,0.915036934789692,12.380512736080881,0.9838375055718508
