Date,Price,Open,High,Low,Vol.,Change %
1/6/2021,"45,153.42","44,650.43","45,194.63","44,650.43",,1.13%
1/5/2021,"44,650.43","44,686.46","44,830.28","44,458.71",,-0.08%
1/4/2021,"44,686.46","44,434.80","45,074.37","44,434.80",,0.57%
1/1/2021,"44,434.80","43,755.38","44,874.86","43,755.38",,1.55%
12/31/2020,"43,755.38","43,694.76","43,890.14","43,665.93",,0.14%
12/30/2020,"43,694.76","43,282.27","43,750.25","43,282.27",,1.02%
12/29/2020,"43,255.55","43,674.28","43,912.10","43,203.68",,-0.96%
12/28/2020,"43,674.28","43,416.77","43,760.67","43,416.77",,0.59%
12/24/2020,"43,416.77","43,087.70","43,631.36","43,087.70",,0.76%
12/23/2020,"43,087.70","42,906.94","43,216.16","42,852.79",,0.42%
12/22/2020,"42,906.94","43,333.76","43,478.97","42,757.49",,-0.98%
12/21/2020,"43,333.76","43,740.56","43,790.72","43,295.64",,-0.93%
12/18/2020,"43,740.55","43,766.69","43,955.56","43,638.33",,-0.06%
12/17/2020,"43,766.69","43,360.19","43,793.22","43,360.19",,0.94%
12/16/2020,"43,360.19","43,250.84","43,556.06","43,183.77",,0.25%
12/15/2020,"43,250.84","43,266.22","43,709.71","43,126.48",,-0.04%
12/14/2020,"43,266.22","42,470.40","43,316.11","42,470.40",,1.87%
12/11/2020,"42,470.39","42,305.84","42,628.01","42,305.84",,0.39%
12/10/2020,"42,305.84","42,204.03","42,441.31","42,119.63",,0.24%
12/9/2020,"42,204.03","42,101.78","42,350.23","42,030.61",,0.24%
12/8/2020,"42,101.78","42,115.31","42,233.96","41,948.35",,-0.03%
12/7/2020,"42,115.31","42,207.00","42,321.37","42,047.00",,-0.22%
12/4/2020,"42,207.00","42,047.72","42,316.52","42,047.72",,0.38%
12/3/2020,"42,047.72","42,027.38","42,412.51","42,009.30",,0.05%
12/2/2020,"42,027.38","41,665.27","42,074.11","41,665.27",,0.87%
12/1/2020,"41,665.27","41,068.82","41,724.04","41,068.82",,1.45%
11/30/2020,"41,068.82","40,807.09","41,115.10","40,669.85",,0.64%
11/27/2020,"40,807.09","41,031.03","41,066.52","40,753.30",,-0.55%
11/26/2020,"41,031.03","40,377.54","41,127.49","40,377.54",,1.62%
11/25/2020,"40,377.53","39,863.36","40,431.56","39,863.36",,1.29%
11/24/2020,"39,863.36","39,632.52","40,021.33","39,631.07",,0.58%
11/23/2020,"39,632.52","40,187.18","40,187.18","39,314.28",,-1.38%
11/20/2020,"40,187.18","40,540.70","40,598.24","40,126.80",,-0.87%
11/19/2020,"40,540.70","40,514.67","40,745.02","40,431.41",,0.06%
11/18/2020,"40,514.67","40,652.67","40,658.15","40,344.62",,-0.34%
11/17/2020,"40,652.67","40,504.75","40,964.22","40,504.75",,0.37%
11/16/2020,"40,504.75","40,569.35","40,790.39","40,470.12",,-0.16%
11/13/2020,"40,569.35","40,564.56","40,689.60","40,262.22",,0.01%
11/12/2020,"40,564.55","41,197.32","41,197.32","40,492.75",,-1.54%
11/11/2020,"41,197.32","41,153.05","41,330.49","40,900.03",,0.11%
11/10/2020,"41,153.05","40,784.04","41,597.33","40,784.04",,0.90%
11/9/2020,"40,784.04","40,731.61","40,943.80","40,596.99",,0.13%
11/6/2020,"40,731.61","41,071.30","41,147.05","40,679.61",,-0.83%
11/5/2020,"41,071.30","40,281.96","41,084.90","40,281.96",,1.96%
11/4/2020,"40,281.96","40,480.88","40,914.59","40,223.45",,-0.49%
11/3/2020,"40,480.88","39,112.18","40,499.64","39,112.18",,3.50%
11/2/2020,"39,112.18","39,888.00","39,888.00","38,778.68",,-1.94%
10/29/2020,"39,888.00","41,186.86","41,186.86","39,275.43",,-3.15%
10/28/2020,"41,186.86","41,381.83","41,687.33","41,069.68",,-0.47%
10/27/2020,"41,381.83","41,850.47","41,922.19","41,327.72",,-1.12%
10/26/2020,"41,850.47","41,266.00","41,876.79","41,266.00",,1.42%
10/23/2020,"41,266.00","41,199.02","41,383.38","41,064.38",,0.16%
10/22/2020,"41,199.02","41,535.92","41,818.24","41,088.38",,-0.81%
10/21/2020,"41,535.92","40,956.58","41,613.05","40,956.58",,1.41%
10/20/2020,"40,956.58","40,340.17","41,056.95","40,340.17",,1.53%
10/19/2020,"40,340.17","40,164.02","40,491.13","40,077.90",,0.44%
