Date,Price,Open,High,Low,Vol.,Change %,Daily_Return,Volatility_30d
2024-09-24,81483.64,81873.63,82010.1,81107.39,148620000.0,-0.45,-0.44820740252045077,0.5315965643804434
2024-09-25,82247.92,81643.5,82331.86,81524.41,155310000.0,0.94,0.9379551527153085,0.5253181630979368
2024-09-26,81657.97,82752.07,82905.73,81552.66,152660000.0,-0.72,-0.7172825768724578,0.5476645515036587
2024-09-27,81292.13,81737.61,81842.75,81183.5,153490000.0,-0.45,-0.44801505597065194,0.5580469023153831
2024-09-30,81114.2,81271.08,81321.64,80352.22,116760000.0,-0.22,-0.2188772763120017,0.5604914497727507
2024-10-01,81804.59,81199.43,81980.37,81119.24,191150000.0,0.85,0.8511333404015664,0.5700379636603794
2024-10-02,81967.01,81706.43,82360.29,81529.45,154650000.0,0.2,0.19854631628861696,0.567650784597226
2024-10-03,82721.77,82076.34,82958.74,81981.5,159630000.0,0.92,0.9208094817659163,0.5771236059541357
2024-10-04,83531.96,82804.3,83605.73,82594.8,173690000.0,0.98,0.9794156967386058,0.5884157975616072
2024-10-07,84910.3,83651.99,85047.81,83303.55,281010000.0,1.65,1.6500750132045328,0.6440497130759123
2024-10-08,85663.98,84905.56,85824.27,84897.99,283710000.0,0.89,0.8876190521055705,0.6457395807116936
2024-10-09,85669.28,85823.81,86451.43,85444.31,349290000.0,0.01,0.006186964462773226,0.6251040180608419
2024-10-10,85453.22,85743.41,86013.46,85425.74,293940000.0,-0.25,-0.25220242308561236,0.6287728345777756
2024-10-11,85483.4,85432.84,85750.19,84774.46,295020000.0,0.04,0.035317569074622135,0.6300081188202015
2024-10-14,85261.39,85596.91,86105.03,85156.11,263519999.99999997,-0.26,-0.2597112421826919,0.6377727810317444
2024-10-15,85840.34,85264.93,85893.99,84856.21,251620000.0,0.68,0.6790295114822653,0.6334403133596688
2024-10-16,86205.66,86060.69,86513.46,85948.05,259490000.0,0.43,0.4255807933659206,0.6324319696236916
