Date,Close,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,cpi,kibor_rate,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,Golden_Cross,EMA_crossover,RSI_14,RSI_OB,RSI_OS,MACD_Line,MACD_Signal,MACD_Hist,ROC_5,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_Pct,True_Range,ATR_14,ATR_Pct,HV_20,Trend_Regime,kibor_rate_ma_5,kibor_rate_ma_20,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,rolling_max_close_63,drawdown_63,max_drawdown_63,days_since_high_63,rolling_max_close_252,drawdown_252,max_drawdown_252,days_since_high_252
2024-10-18,85250.09,-0.003925886,8.6e-05,-0.001538455,0.005610944542048433,-0.469999313,1,0,0,0,0.00036051226134884925,3.048982873,264.1748168255401,14.55,85532.309,83749.73899999999,80760.0852,72747.5788,85083.3269233407,83923.96156309782,81584.9276968024,1.0,1.0,67.18493039254665,0.0,0.0,1526.1294002149807,1493.2750313091344,32.854368905846286,-0.27293018293610416,87570.35907360322,79929.11892639675,83749.73899999999,0.09123897266362188,0.6963491489726988,652.9300000000076,899.0146777245708,1.054561558497558,10.710408286807715,0.03701895302111426,14.629999999999999,15.060000000000002,-0.129999999999999,-1.7399999999999984,-0.0071947712017982335,0.004255807933659206,0.006790295114822653,0.00035317569074622135,0.009794156967386058,86205.66,-0.011084770999955307,-0.058105793436108,2.0,86205.66,-0.011084770999955307,-0.10923004246179024,2.0
2024-10-21,86057.52,0.009426738,0.003839051,0.009848044,-0.01144865774420417,-1.079999924,3,1,0,0,-0.007688629223342787,3.048982873,264.1748168255401,14.51,85647.03099999999,83960.09,80923.7512,72869.34095,85260.45293727875,84127.15760470755,81760.3234733984,1.0,1.0,71.15495075519156,1.0,0.0,1509.344415458123,1496.4889081389322,12.855507319190792,0.9337520769952423,87803.61354236011,80116.56645763988,83960.09,0.09155596527731477,0.7728524980898235,922.6999999999971,902.1727206946276,1.0483368806057014,10.881460923709554,0.03752098432134962,14.592000000000002,14.975,-0.1899999999999995,-1.700000000000001,-0.003918190280752132,-0.0071947712017982335,0.004255807933659206,-0.0025971124218269193,0.016500750132045328,86205.66,-0.0017184486494273843,-0.058105793436108,3.0,86205.66,-0.0017184486494273843,-0.10923004246179024,3.0
2024-10-22,86466.58,0.004742071,-0.001643534,-0.006993018,-0.0050871198168064785,0.340000153,1,0,0,0,0.007868781640693403,3.048982873,264.1748168255401,14.53,85727.291,84209.237,81081.69099999999,73005.81895,85479.74876686443,84349.95973759255,81944.88255287298,1.0,1.0,72.94101749144686,1.0,0.0,1511.6248471676226,1499.5160959446703,12.108751222952378,0.7295404468342204,88022.7421086102,80395.73189138979,84209.237,0.09057213304545683,0.7959669563446155,788.5199999999895,887.0190246020093,1.0258518662378102,10.583391606016784,0.038572777176045854,14.565999999999999,14.892499999999998,-0.13000000000000078,-1.6500000000000004,0.009471309649057291,-0.003918190280752132,-0.0071947712017982335,0.006790295114822653,0.008876190521055705,86466.58,0.0,-0.058105793436108,0.0,86466.58,0.0,-0.10923004246179024,0.0
2024-10-23,87194.54,0.008383733,-0.000531273,-0.002195336,-0.009658059854316862,-0.170000076,1,0,0,0,-0.00018015241735073288,3.048982873,264.1748168255401,14.43,85879.817,84456.568,81265.976,73137.47355000001,85791.5289910709,84620.87214353612,82150.75147236817,1.0,1.0,75.8114150132131,1.0,0.0,1554.2558993939456,1510.4640566345256,43.79184275941998,1.1471172542498742,88374.68295814074,80538.45304185926,84456.568,0.09278413866262568,0.8493991408178646,1024.979999999996,905.4138213217408,1.0383836204901602,10.5125684424718,0.03926110479495139,14.522,14.809999999999999,-0.22000000000000064,-1.6499999999999986,0.004753332422314793,0.009471309649057291,-0.003918190280752132,0.004255807933659206,6.186964462773226e-05,87194.54,0.0,-0.058105793436108,0.0,87194.54,0.0,-0.10923004246179024,0.0
2024-10-24,88945.99,0.019887617,-0.009179503,-0.005951795,0.0035586532365849957,1.039999008,1,0,0,0,0.0,3.048982873,264.1748168255401,14.24,86229.094,84820.96900000001,81487.3474,73271.94230000001,86365.06735633074,85032.788129866,82417.23141462824,1.0,1.0,81.0264204706417,1.0,0.0,1709.6607876123453,1550.3034028300895,159.35738478225585,3.9265561906974167,88990.71505492537,80651.22294507465,84820.96900000001,0.09831875547013283,0.9946369569829635,1931.62000000001,1042.2413118121767,1.1717687461932536,11.412810216995677,0.04090968360567856,14.452000000000002,14.727500000000001,-0.34999999999999964,-1.6500000000000004,0.00841897528501745,0.004753332422314793,0.009471309649057291,-0.0071947712017982335,-0.0025220242308561236,88945.99,0.0,-0.058105793436108,0.0,88945.99,0.0,-0.10923004246179024,0.0
2024-10-25,89993.97,0.011713336,0.002160504,-0.001548832,-0.0031626801013832392,-0.159999847,1,0,0,0,0.0001801524173506072,3.048982873,264.1748168255401,14.12,86680.151,85256.061,81725.10720000001,73409.65694999999,87024.86783699787,85505.28164130735,82714.35841797617,1.0,1.0,83.34081778491513,1.0,0.0,1895.5329845058295,1619.3493191652376,276.1836653405919,5.564662746983617,89683.44822905467,80828.67377094533,85256.061,0.10386093791160893,1.0350682868789445,1647.6199999999953,1122.9584702372192,1.2478152372178037,11.209890716605623,0.04320525137224889,14.366,14.662,-0.4300000000000015,-1.3100000000000005,0.020086693501680353,0.00841897528501745,0.004753332422314793,-0.003918190280752132,0.00035317569074622135,89993.97,0.0,-0.058105793436108,0.0,89993.97,0.0,-0.10923004246179024,0.0
2024-10-28,90195.52,0.00223709,-0.000345457,-0.000886163,0.007298636775122671,1.25,3,1,0,0,-0.002967297498874951,3.048982873,264.1748168255401,14.08,87173.564,85710.12700000001,81968.1114,73537.32565,87601.3500484528,85951.97100880189,83007.73730354573,1.0,1.0,83.75132527056822,1.0,0.0,2035.6358967784472,1702.6066346878797,333.0292620905675,4.8084118622056415,90211.07597556926,81209.17802443076,85710.12700000001,0.10502723850984956,0.9982719226930045,1322.1100000000006,1149.5120075389234,1.2744668554922942,10.93553117208637,0.04565209001509352,14.280000000000001,14.606,-0.4299999999999997,-1.1199999999999992,0.011782206257977323,0.020086693501680353,0.00841897528501745,0.009471309649057291,-0.0025971124218269193,90195.52,0.0,-0.058105793436108,0.0,90195.52,0.0,-0.10923004246179024,0.0
2024-10-29,90864.09,0.007385115,0.003086584,0.004422807,-0.0033468282719474178,-0.530000687,1,0,0,0,0.0026068501905370744,3.048982873,264.1748168255401,14.0,87675.939,86163.102,82228.78640000001,73669.8981,88194.57549418866,86419.79186510647,83315.82956615178,1.0,1.0,85.06592766508592,1.0,0.0,2175.5382252338604,1797.192952797076,378.3452724367844,5.085791527778705,90829.5434779238,81496.6605220762,86163.102,0.10831646887373668,1.003701591698903,1162.62999999999,1151.261073200399,1.2670143653014068,10.900416855176259,0.04784596456114044,14.174000000000001,14.551499999999999,-0.5299999999999994,-1.0899999999999999,0.002239594497275732,0.011782206257977323,0.020086693501680353,0.004753332422314793,0.006790295114822653,90864.09,0.0,-0.058105793436108,0.0,90864.09,0.0,-0.10923004246179024,0.0
2024-10-30,90286.57,-0.006376151,0.00161705,-0.003093901,-0.004942186683463982,-0.459999084,1,0,0,0,0.0001802948909872986,3.048982873,264.1748168255401,13.88,88084.03,86579.07999999999,82479.60740000001,73798.0967,88574.9381316089,86788.05644938204,83589.19193610661,1.0,1.0,79.11174358218861,1.0,0.0,2214.2858817133674,1880.6115385803344,333.67434313303306,3.5461280029690068,91152.90731965468,82005.2526803453,86579.07999999999,0.10565663944811368,0.905294050353427,1869.320000000007,1247.002263440347,1.3811603026234653,11.613415513945792,0.04970286267390718,14.063999999999998,14.494499999999999,-0.5499999999999989,-1.1399999999999988,0.007412452414487847,0.002239594497275732,0.011782206257977323,0.00841897528501745,0.004255807933659206,90864.09,-0.006355866217336081,-0.058105793436108,1.0,90864.09,-0.006355866217336081,-0.10923004246179024,1.0
2024-10-31,88966.77,-0.014725794,-0.003029671,-0.009786452,-0.00715994743513212,1.010000229,1,0,0,0,0.0001801524173506072,3.048982873,264.1748168255401,13.56,88422.164,86891.32999999999,82693.72559999999,73919.73475,88646.18028949818,86995.55297801233,83800.07735037695,1.0,1.0,67.48633473529833,0.0,0.0,2114.1265142062766,1927.3145337055228,186.81198050075386,0.02336249222703035,91201.45832908452,82581.20167091546,86891.32999999999,0.0992073277986315,0.7407631329669526,1636.8899999999994,1298.987294981634,1.4600814382511964,13.391691853954251,0.05076085724211218,13.928,14.4345,-0.6799999999999997,-1.1999999999999993,-0.006355866217336081,0.007412452414487847,0.002239594497275732,0.020086693501680353,-0.0071947712017982335,90864.09,-0.020880856232643685,-0.058105793436108,2.0,90864.09,-0.020880856232643685,-0.10923004246179024,2.0
