Date,Price,Open,High,Low,Vol.,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window
4/15/2025,116775.5,"116,739.03","117,362.23","116,645.69",215.17M,0.33%,0.003306323,0.009654777,0.009060624,30.88999939,-6.670001984,1,0,0,0
4/16/2025,116020.11,"117,187.51","117,424.04","115,776.12",248.07M,-0.65%,-0.00648975,-0.002804762,-0.000949927,30.12000084,-0.76999855,1,0,0,0
4/17/2025,116901.13,"116,073.70","117,216.03","115,818.07",221.69M,0.76%,0.007564997,-0.02247884,-0.011709992,32.63999939,2.51999855,1,0,0,0
4/18/2025,117315.59,"117,360.60","117,888.13","116,759.07",212.79M,0.35%,0.003539119,0.001425771,0.007662774,29.64999962,-2.989999771,1,0,0,0
4/21/2025,118383.38,"117,712.70","118,827.47","117,712.70",367.34M,0.91%,0.009060687,0.001425771,0.007662774,29.64999962,-2.989999771,3,1,0,0
4/22/2025,118430.35,"118,546.17","119,217.19","118,161.68",353.61M,0.04%,0.000396683,-0.024090529,-0.000238517,33.81999969,4.170000076,1,0,0,0
4/23/2025,117226.15,"118,422.67","118,811.24","117,120.39",242.52M,-1.02%,-0.010220049,0.025685002,0.014920398,30.56999969,-3.25,1,0,0,0
4/24/2025,115019.82,"115,269.30","116,568.14","114,661.20",197.69M,-1.88%,-0.019000514,0.015376596,0.011452714,28.45000076,-2.119998932,1,0,0,0
4/25/2025,115469.35,"115,099.65","115,844.89","113,716.60",213.62M,0.39%,0.003900665,0.020830598,0.011552817,26.46999931,-1.98000145,1,0,0,0
4/28/2025,114063.9,"116,305.70","116,658.95","113,867.81",190.22M,-1.22%,-0.012246309,0.007199316,-0.00183957,24.84000015,-1.629999161,3,1,0,0
4/29/2025,114872.18,"113,869.98","115,040.59","112,935.57",185.49M,0.71%,0.007061214,0.000381309,0.00183957,25.14999962,0.309999466,1,0,0,0
4/30/2025,111326.58,"114,066.13","114,066.13","110,631.84",254.49M,-3.09%,-0.031351988,0.006279526,0.002752936,24.17000008,-0.979999542,1,0,0,0
5/2/2025,114113.94,"112,820.08","114,546.88","112,820.08",192.30M,2.50%,0.024729379,0.000396764,0.002516854,24.70000076,0.530000687,2,1,0,0
5/5/2025,114102.24,"114,385.61","114,552.21","113,077.67",153.68M,-0.01%,-0.000102534,0.014735063,0.028170941,22.68000031,-1.920000076,3,1,0,0
5/6/2025,113568.51,"114,392.83","115,093.11","113,418.52",165.33M,-0.47%,-0.004688621,-0.005750933,0.007527123,23.63999939,0.959999084,1,0,0,0
5/7/2025,110009.03,"107,007.68","112,457.38","107,007.68",261.52M,-3.13%,-0.031843814,-0.008393299,-0.003977919,24.76000023,1.120000839,1,0,0,0
5/8/2025,103526.82,"110,842.45","111,881.03","101,598.91",308.03M,-5.89%,-0.060731744,0.004196623,-0.011581402,23.54999924,-1.210000992,1,0,0,0
5/9/2025,107174.64,"103,949.69","107,541.45","102,420.82",238.40M,3.52%,0.034628944,0.00694374,-0.000672271,22.47999954,-1.069999695,1,0,1,1
5/12/2025,117297.73,"117,104.12","117,327.78","115,794.37",345.35M,9.45%,0.09025575,-0.001275162,0.00670246,21.89999962,-0.579999924,3,1,0,1
