Date,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,EMA_crossover,RSI_OB,RSI_OS,MACD_Hist,True_Range,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,days_since_high_63,drawdown_252,target_next_log_return
2025-03-20,0.006722398,0.010832073,0.002435495,-0.007767394053930193,-1.800001144,0,0,0,0.0,2.7,1.0,1.0,0.0,496.67929450261727,1447.7799999999988,0.0,0.16999999999999993,0.00831564902515014,0.006897614698984755,0.005742097907521115,0.008850454233325644,0.013001078983902126,0.0,0.0,-0.0027620042603777478
2025-03-21,-0.002762004,-0.002895955,-0.009331272,-0.010131073722742015,-0.100000381,0,0,0,0.0,2.7,1.0,0.0,0.0,491.6901253515912,1071.520000000004,0.0,0.16000000000000014,0.006745043803284556,0.00831564902515014,0.006897614698984755,0.003839722995694572,0.006028500829895034,1.0,-0.002758193435922429,-0.01705205361918285
2025-03-24,-0.017052054,0.000329841,-0.004922857,0.0013439513600997201,-0.51999855,1,0,0,-0.007013059505868691,2.7,1.0,0.0,0.0,327.4603858123835,2540.179999999993,-0.019999999999999574,0.14000000000000057,-0.002758193435922429,0.006745043803284556,0.00831564902515014,0.005742097907521115,-0.0003702839280516068,2.0,-0.01961904952750193,0.001660854915679557
2025-03-25,0.001660855,0.017749998,0.004476182,0.005357888683563514,-1.800001144,0,0,0,0.0073701603931695505,2.7,1.0,0.0,0.0,211.4351973087023,1026.6699999999983,-0.019999999999999574,0.15000000000000036,-0.016907490220122612,-0.002758193435922429,0.006745043803284556,0.006897614698984755,-0.0015624844236882263,3.0,-0.017989426097229977,0.009719473859502063
2025-03-26,0.009719474,0.002400885,-0.002907168,-0.012095780690755077,-0.329999924,0,0,0,-0.00035710088730074135,2.7,1.0,0.0,0.0,191.56936076638442,1587.7100000000064,-0.02999999999999936,0.16000000000000014,0.001662234899083348,-0.016907490220122612,-0.002758193435922429,0.00831564902515014,-0.0008155711020878531,4.0,-0.008398264979379899,0.000292385921272854
2025-03-27,0.000292386,-0.012009969,-0.00606541,0.001158327773632958,1.180000305,0,0,0,0.00017851189783423758,2.7,1.0,0.0,0.0,162.07974455245926,595.8300000000017,0.09999999999999964,0.2699999999999996,0.009766861348276867,0.001662234899083348,-0.016907490220122612,0.006745043803284556,0.008850454233325644,5.0,-0.00810829220263709,0.009557703702091814
2025-04-03,0.009557704,-0.002659306,0.004944899,-0.0343474041752644,0.36000061,1,0,0,-0.0005357403517343094,2.7,1.0,0.0,0.0,197.73748336685298,1671.3899999999994,0.10999999999999943,0.29999999999999893,0.00029242867020262686,0.009766861348276867,0.001662234899083348,-0.002758193435922429,0.003839722995694572,0.0,0.0,-0.0012320713432391907
2025-04-04,-0.001232071,-0.050536565,-0.021412013,-0.06539089426684891,8.510000229,0,0,0,0.0014280399055124982,2.7,1.0,0.0,0.0,190.36155188309067,2078.4100000000035,0.11999999999999922,0.29999999999999893,0.009603524416045728,0.00029242867020262686,0.009766861348276867,-0.016907490220122612,0.005742097907521115,1.0,-0.001231312654959793,-0.03322642744039852
2025-04-07,-0.033226427,-0.060326623,-0.057226926,-0.021983653981162404,15.29000092,1,0,0,0.0025184729958531806,2.7,1.0,0.0,0.0,-82.43918748614487,8687.680000000008,0.10999999999999943,0.27999999999999936,-0.001231312654959793,0.009603524416045728,0.00029242867020262686,0.001662234899083348,0.006897614698984755,2.0,-0.033871565640314905,0.0054064947678522145
2025-04-08,0.005406495,-0.001782804,-0.037920486,-0.005243574639841963,1.669998169,0,0,0,-0.0025184729958531876,2.7,1.0,0.0,0.0,-219.60889773974054,1782.7999999999884,0.10999999999999943,0.28999999999999915,-0.03268049288982067,-0.001231312654959793,0.009603524416045728,0.009766861348276867,0.00831564902515014,3.0,-0.028634051777012504,-0.01201021430546593
